S.No.,Phone No.,Restaurant Name,Address,Link
1,+919928100111,The Night Jar,"Leisure Inn Grand Chanakya, MI Road, Jaipur",https://www.zomato.com/jaipur/the-night-jar-mi-road/info
2,+917999997747,KnightHouse,"C Scheme, Jaipur",https://www.zomato.com/jaipur/knighthouse-c-scheme/info
3,+919599199317,Clock Tower,"Adarsh Nagar, Jaipur",https://www.zomato.com/jaipur/clock-tower-adarsh-nagar/info
4,+917707088000,The Albion - The Swinton House,"MI Road, Jaipur",https://www.zomato.com/jaipur/the-albion-the-swinton-house-mi-road/info
5,+919829100038,Roso,"C Scheme, Jaipur",https://www.zomato.com/jaipur/roso-c-scheme/info
6,+917610002227,Retreat,"C Scheme, Jaipur",https://www.zomato.com/jaipur/retreat-c-scheme/info
7,+918058050222,Wunderbar,"Gopalbari, Jaipur",https://www.zomato.com/jaipur/wunderbar-gopalbari/info
8,+919001096673,Jaipur Local,"Shastri Nagar, Jaipur",https://www.zomato.com/jaipur/jaipur-local-shastri-nagar/info
9,+916376988595,Atmos The Terrace Lounge,"Raja Park, Jaipur",https://www.zomato.com/jaipur/atmos-the-terrace-lounge-raja-park/info
10,+911414794341,Sirka,"C Scheme, Jaipur",https://www.zomato.com/jaipur/sirka-c-scheme/info
11,+919680074873,MIROH,"MI Road, Jaipur",https://www.zomato.com/jaipur/miroh-mi-road/info
12,+919929766002,The Night Jar Cocktail Room,"Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/the-night-jar-cocktail-room-malviya-nagar/info
13,+918824877200,Townsend Kitchen | Bar,"Adarsh Nagar, Jaipur",https://www.zomato.com/jaipur/townsend-kitchen-bar-adarsh-nagar/info
14,+919799906744,Up & Up,"Bapu Nagar, Jaipur",https://www.zomato.com/jaipur/up-up-bapu-nagar/info
15,+917728891149,Nebulae - Hilton,"Hilton Jaipur, Bais Godam, Jaipur",https://www.zomato.com/jaipur/nebulae-hilton-bais-godam/info
16,+918529919562,Kahanee,"Bani Park, Jaipur",https://www.zomato.com/jaipur/kahanee-bani-park/info
17,+919982063339,Rasa,"Bani Park, Jaipur",https://www.zomato.com/jaipur/rasa-bani-park/info
18,+919859261111,Diona,"Sodala, Jaipur",https://www.zomato.com/jaipur/diona-sodala/info
19,+917413012227,360°,"C Scheme, Jaipur",https://www.zomato.com/jaipur/360%C2%B0-3-c-scheme/info
20,+918239648648,Stardust,"Tonk Phatak, Jaipur",https://www.zomato.com/jaipur/stardust-tonk-phatak/info
21,+919509766266,Once Upon A Time At The Bagh,"Agra Road, Jaipur",https://www.zomato.com/jaipur/once-upon-a-time-at-the-bagh-agra-road/info
22,+919829373065,"YOUniverse -The Lounge Rooftop , Bar & Kitchen","Hotel Royal Empire, Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/youniverse-the-lounge-rooftop-bar-kitchen-malviya-nagar/info
23,+918058662222,Zolocrust - Hotel Clarks Amer,"Hotel Clarks Amer, Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/zolocrust-hotel-clarks-amer-malviya-nagar/info
24,+917690901111,Tarkash,"Jagatpura, Jaipur",https://www.zomato.com/jaipur/tarkash-jagatpura/info
25,+919091559090,Mezo,"Radisson Blu, Tonk Road, Jaipur",https://www.zomato.com/jaipur/mezo-tonk-road/info
26,+918888773131,LIGHTHOUSE - Brewery Bar & Kitchen,"Gopalpura, Jaipur",https://www.zomato.com/jaipur/lighthouse-brewery-bar-kitchen-gopalpura/info
27,+919783804777,Rosado,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/rosado-vaishali-nagar/info
28,+919001686733,Opera,"C Scheme, Jaipur",https://www.zomato.com/jaipur/opera-c-scheme/info
29,+919928341111,Baramasi,"MI Road, Jaipur",https://www.zomato.com/jaipur/baramasi-mi-road/info
30,+919799392116,Monarch Restaurant - Holiday Inn Jaipur City Centre,"Holiday Inn Jaipur City Centre, Bais Godam, Jaipur",https://www.zomato.com/jaipur/monarch-restaurant-holiday-inn-jaipur-city-centre-bais-godam/info
31,+919376999977,Khwaab,"Bapu Nagar, Jaipur",https://www.zomato.com/jaipur/khwaab-1-bapu-nagar/info
32,+919799951146,Vayu by BUR'dera,"Durgapura, Jaipur",https://www.zomato.com/jaipur/vayu-by-burdera-durgapura/info
33,+919773394290,DYORE- Experiences,"Civil Lines, Jaipur",https://www.zomato.com/jaipur/dyore-experiences-civil-lines/info
34,+918905576277,OSITO,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/osito-vaishali-nagar/info
35,+919773321730,Paro Modern Indian Bar,"MI Road, Jaipur",https://www.zomato.com/jaipur/paro-modern-indian-bar-1-mi-road/info
36,+919509292550,The Great Indian Dhaba,"Tonk Road, Jaipur",https://www.zomato.com/jaipur/the-great-indian-dhaba-tonk-road/info
37,+917374006006,Zarza Club & Terrace,"Bais Godam, Jaipur",https://www.zomato.com/jaipur/zarza-club-terrace-bais-godam/info
38,+919783153060,Cafe Auberge,"Civil Lines, Jaipur",https://www.zomato.com/jaipur/cafe-auberge-1-civil-lines/info
39,+919047777774,Purgatory 777,"C Scheme, Jaipur",https://www.zomato.com/jaipur/purgatory-777-c-scheme/info
40,+911414113000,Jaipur Modern Kitchen,"C Scheme, Jaipur",https://www.zomato.com/jaipur/jaipur-modern-kitchen-c-scheme/info
41,+919351767705,Noir Coffee House,"MI Road, Jaipur",https://www.zomato.com/jaipur/noir-coffee-house-mi-road/info
42,+919358005217,Skyloft Open Air Lounge,"Sodala, Jaipur",https://www.zomato.com/jaipur/skyloft-open-air-lounge-sodala/info
43,+919829744416,1135 AD,"Amer, Jaipur",https://www.zomato.com/jaipur/1135-ad-amer/info
44,+918003993681,Jaipur Adda,"Nirwana Hometel, Bani Park, Jaipur",https://www.zomato.com/jaipur/jaipur-adda-gopalbari/info
45,+918696777333,The Garden Leaf,"Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/the-garden-leaf-malviya-nagar/info
46,+919649504777,NEO - Lounge Club,"Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/neo-lounge-club-malviya-nagar/info
47,+919509759700,Sequoia Café,"Raja Park, Jaipur",https://www.zomato.com/jaipur/sequoia-caf%C3%A9-raja-park/info
48,+917230011191,Latte Lounge,"C Scheme, Jaipur",https://www.zomato.com/jaipur/latte-lounge-1-c-scheme/info
49,+918875251555,Pentagon Bar & Kitchen,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/pentagon-bar-kitchen-vaishali-nagar/info
50,+919358113521,Fusion Cafe,,https://www.zomato.com/jaipur/fusion-cafe-pratap-nagar/info
51,+919358814790,Piante - Kitchen & Bar,"Raja Park, Jaipur",https://www.zomato.com/jaipur/piante-kitchen-bar-raja-park/info
52,+918829060618,Clayb.orn,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/clayb-orn-vaishali-nagar/info
53,+919001918186,Hop On,"Hotel Las Vegas, Bais Godam, Jaipur",https://www.zomato.com/jaipur/hop-on-bais-godam/info
54,+911412744131,Café Bae,"Hotel Las Vegas, Bais Godam, Jaipur",https://www.zomato.com/jaipur/caf%C3%A9-bae-bais-godam/info
55,+919358112957,Oxigen,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/oxigen-vaishali-nagar/info
56,+919672013111,Midnight Vegas,,https://www.zomato.com/jaipur/midnight-vegas-malviya-nagar/info
57,+917737307781,Brunch & Drunch Cafe,"Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/brunch-drunch-cafe-malviya-nagar/info
58,+919950153560,Code Black,"Tonk Road, Jaipur",https://www.zomato.com/jaipur/code-black-tonk-road/info
59,+919672211188,Queens Hub,,https://www.zomato.com/jaipur/queens-hub-malviya-nagar/info
60,+918306660040,Cayo Kitchen And Bar,"Shyam Nagar, Jaipur",https://www.zomato.com/jaipur/cayo-kitchen-and-bar-shyam-nagar/info
61,+919799919548,Bellissimo Home Cafe,"Vaishali Nagar, Jaipur",https://www.zomato.com/jaipur/bellissimo-home-cafe-vaishali-nagar/info
62,+918183959595,The Big Tree Cafe,"Ajmer Highway, Jaipur",https://www.zomato.com/jaipur/the-big-tree-cafe-ajmer-highway/info
63,+918003299910,Limelight - Hotel Royal Orchid,,https://www.zomato.com/jaipur/limelight-hotel-royal-orchid-durgapura/info
64,+916377207631,Azura,,https://www.zomato.com/jaipur/azura-1-mansarovar/info
65,+919001793533,Amritsar House,"Hotel Royal Empire, Malviya Nagar, Jaipur",https://www.zomato.com/jaipur/amritsar-house-malviya-nagar/info
